id,status,project,file,closing,null_language,states_floor,FLOOR_GAP,BUG,DATA,NARROW,claim
S020,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,"15 headline numbers recomputed independently; 14 confirmed, 1 baseline updated."
S021,SETTLED,set1_overshoot,LEDGER.md,yes,1,3,,,,,The tennis strategy line cannot be resolved with the sample available.
S022,BROKEN,set1_overshoot,LEDGER.md,yes,0,0,,yes,,,Retirement add-back costs −0.004¢.
S023,BROKEN,set1_overshoot,LEDGER.md,yes,1,0,yes,yes,,,The fade side loses in all 6 configurations.
S025,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,"The two maker-fee tennis series hold 34.4% of tennis volume on 5.8% of the markets — 5.9× concentration. S010's ""91% of the book"" is a *count*; by volume the taker-only series are 65.6%."
S024,SUGGESTIVE,set1_overshoot,LEDGER.md,,0,0,,,,,plausible duration filter (25–330 min) is immaterial to θ.
C010,SETTLED,crypto,LEDGER.md,yes,2,1,,,,,"No model beats Kalshi's own mid. Two tie, two lose. The crypto ladder is efficiently priced."
C011,SETTLED,crypto,LEDGER.md,yes,0,1,,,,,The settlement-average correction genuinely improves the model (M2 beats M1).
C012,SETTLED,crypto,LEDGER.md,yes,0,1,,,,,Feeding the model fatter tails than the market uses makes the forecast worse.
C005,SETTLED,crypto,LEDGER.md,yes,0,0,,,,,Hourly BTC/ETH returns are severely fat-tailed.
C001,SUGGESTIVE,crypto,LEDGER.md,,2,0,yes,,,,Kalshi greater ladders are monotone in strike — no arbitrage.
C002,SUGGESTIVE,crypto,LEDGER.md,,0,0,,,,,between bucket families sum to 100¢ — no arbitrage net of fees.
C004,SETTLED,crypto,LEDGER.md,yes,0,0,,,,,"Polymarket's fee is 0.10 × min(p,1−p), not the documented 0.07·p(1−p)."
C016,SETTLED,crypto,LEDGER.md,yes,2,0,yes,,,,"The ""cheap wings"" are not tradeable — they have an ask but no bid."
C017,SETTLED,crypto,LEDGER.md,yes,1,0,yes,,,,Deribit cannot serve as a reference price for the hourly ladders.
C018,SETTLED,crypto,LEDGER.md,yes,0,0,,,yes,,Kalshi unauthenticated rate limit is 15 req/s sustained; 25 req/s ⇒ 56% rejection.
C007,SETTLED,crypto,LEDGER.md,yes,2,1,,,,,The pipeline finds no edge in synthetic data containing no edge.
C008,SETTLED,crypto,LEDGER.md,yes,1,1,,,,,"The pipeline detects an injected 15% wing bias, and a 5% one."
C009,SETTLED,crypto,LEDGER.md,yes,0,0,,,,,The pipeline detects outcome leaked into a feature.
C019,SETTLED,crypto,LEDGER.md,yes,0,1,,,,,Effective sample size is far below row count — ~360 correlated minutes per event.
C020,SETTLED,crypto,LEDGER.md,yes,0,0,,,,,ETH does not lead BTC.
C021,SETTLED,crypto,LEDGER.md,yes,2,0,yes,,,,Path/streak structure in 15m opens is tradeable.
C022,SETTLED,crypto,LEDGER.md,yes,1,0,yes,,,,Market-making on the ladders is viable.
C023,SETTLED,crypto,LEDGER.md,yes,2,0,yes,,,,Hold-to-settlement on the ladders is profitable.
C024,SETTLED,crypto,LEDGER.md,yes,0,0,,yes,,,A silent orderbook parse bug wrote real row counts with empty content for 1h45m.
C025,UNVERIFIED,crypto,LEDGER.md,,2,0,yes,,,yes,"""MM scan: 0 of 4 series profitable."""
C026,SETTLED,crypto,LEDGER.md,yes,0,0,,,,,The four crypto assets are not four independent series — there are ~1.81.
C027,SETTLED,crypto,LEDGER.md,yes,2,1,,,,,Lead-lag ETH→XRP (+0.1544) is tradeable.
W001,SETTLED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,Wallet skill is real and persists out of sample.
W002,SETTLED,wallet-copy-study,LEDGER.md,yes,0,1,,,,,A period-1 top decile keeps +2.567pp of excess into an untouched period 2.
W003,SETTLED,wallet-copy-study,LEDGER.md,yes,0,1,,,,,But a copier who buys the same entries and holds gets only +0.937pp.
W004,SETTLED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,"And that is less than the spread, so the strategy is break-even at best."
W005,SETTLED,wallet-copy-study,LEDGER.md,yes,0,1,,,,,The copier return declines monotonically across split points: +1.98 → +0.94 → −0.14.
W007,SETTLED,wallet-copy-study,LEDGER.md,yes,0,2,,,,yes,Copying exits destroys value at every delay.
W008,SETTLED,wallet-copy-study,LEDGER.md,yes,1,1,,,,,"It is not timing skill — duration-matched, the wallets add nothing."
W009,SETTLED,wallet-copy-study,LEDGER.md,yes,0,1,,,,,"It is not tail-risk avoidance — shorter holding is strictly worse, monotonically."
W010,SETTLED,wallet-copy-study,LEDGER.md,yes,0,1,,,,,Selling winners early and losers early are two enormous effects that cancel.
W013,SUGGESTIVE,wallet-copy-study,LEDGER.md,,0,1,,,,yes,Entries do decay for selected wallets: +3.436 → +0.427pp over 5 minutes.
W014,SETTLED,wallet-copy-study,LEDGER.md,yes,1,0,yes,,,,The unconditional decay curve is flat from 0s to 1800s — a bot buys nothing.
W017,SETTLED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,"Polymarket charged no fee for 91% of on-chain history, switching on 2026-01-08."
W018,SETTLED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,Ranking inside the fee era finds an almost entirely different top decile.
W019,SETTLED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,Capacity is not the constraint — price impact does not scale with trade size.
W020,SETTLED,wallet-copy-study,LEDGER.md,yes,1,0,yes,,,,"Adverse selection is not present — copyable fills are *better*, not worse."
W021,SETTLED,wallet-copy-study,LEDGER.md,yes,1,0,yes,,,,Market making is not the explanation for persistence.
W022,SETTLED,wallet-copy-study,LEDGER.md,yes,1,0,yes,,,,Survivorship is not driving the result.
W023,SETTLED,wallet-copy-study,LEDGER.md,yes,2,0,yes,,,,The excess metric scores a null strategy at zero.
W024,SETTLED,wallet-copy-study,LEDGER.md,yes,1,0,yes,,,,"Phase 5 (sizing, portfolio, forward test) was deliberately not run."
T001,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,,,Only 36.9% of Kalshi tennis markets clear all three modelling thresholds.
T002,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,,,"The binding constraint: Sackmann features end 2026-06-02, and 85.0% of markets are after that."
T003,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,yes,,Sackmann's upstream repos are gone (404); the project runs on a frozen mirror.
T004,SETTLED,kalshi-tennis,LEDGER.md,yes,1,0,yes,,,,"""Comeback ability"" is ~75% just overall skill."
T005,SETTLED,kalshi-tennis,LEDGER.md,yes,0,1,,,,,"The model itself is good: held-out Brier 0.19884, AUC 0.75984."
T006,SETTLED,kalshi-tennis,LEDGER.md,yes,0,2,,yes,,yes,"But the model loses to the bookmakers. This is the Stage 4 gate, and it failed."
T009,SETTLED,kalshi-tennis,LEDGER.md,yes,1,0,yes,,,,43 selective segments tested with Benjamini-Hochberg; 19 survive and every one is negative.
T011,SETTLED,kalshi-tennis,LEDGER.md,yes,0,1,,yes,,,The anchor sweep proves which Kalshi anchor is leak-free.
T012,SETTLED,kalshi-tennis,LEDGER.md,yes,0,2,,,,,Kalshi is the sharp line — indistinguishable from Betfair at a clean anchor.
T013,SETTLED,kalshi-tennis,LEDGER.md,yes,1,1,,,,,"Where the two venues disagree by more than it costs to act, Kalshi is closer 49.1% of the time — a coin flip measured precisely."
T014,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,yes,,tennis-data.co.uk stopped carrying Pinnacle in 2026; the real benchmark is the Betfair Exchange close.
T015,SETTLED,kalshi-tennis,LEDGER.md,yes,0,1,,,,,"39.8% of held-out Kalshi markets quote wider than 10¢ — a 1c/99c quote has a 50c ""mid"" nobody trades at."
T016,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,,,Shrinkage behaves correctly across all 8 statistics × 2 buckets.
T018,SETTLED,kalshi-tennis,LEDGER.md,yes,1,0,yes,,,,The ITF tier cannot be modelled from Sackmann — serve stats on only 4.6% of futures rows.
T019,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,,,"Player order is assigned cleanly (alphabetical), not by outcome."
T020,SETTLED,kalshi-tennis,LEDGER.md,yes,0,0,,,,,The API-listing-order side choice is clean.
T021,SUGGESTIVE,kalshi-tennis,LEDGER.md,,1,0,yes,yes,,,stage5_selective.py sorts variants on mean_pnl over the full sample with no holdout.
T022,?,kalshi-tennis,LEDGER.md,,2,0,yes,yes,,,"stage5_selective.py dedupes with keep=""first"" — order-dependent and non-deterministic."
CH057,UNVERIFIED,,LEDGER.md,,2,0,yes,,,,"""4 weeks / 14k markets / 0 of 480 configs profitable"""
CH031,SETTLED,,LEDGER.md,yes,0,0,,yes,,,The score-staleness guard never fired — fetched_at was stamped at cache read
CH022,BROKEN,,LEDGER.md,yes,0,1,,yes,,yes,Three irreconcilable P&L figures for one session (+$0.60 / +$2.51 / −$3.55)
CH035,UNVERIFIED,,LEDGER.md,,1,0,yes,,,,Every negative result in the project is a taker result
CH044,SETTLED,,LEDGER.md,yes,0,0,,yes,,yes,A position-sizing blowout produced 64 contracts against an intended 9
K001,SETTLED,kalshi-market-scan,LEDGER.md,yes,3,0,yes,,,,No model beats the Kalshi mid on KXBTC15M direction.
K002,SETTLED,kalshi-market-scan,LEDGER.md,yes,0,0,,,,,The weather model genuinely beats climatology in all four cities.
K004,SETTLED,kalshi-market-scan,LEDGER.md,yes,0,1,,,,,Only KXTEMPDCH clears both the power bar and the capacity bar. 1 of 11 families.
K007,SETTLED,kalshi-market-scan,LEDGER.md,yes,3,0,yes,,,,No-arb violations are real but the size is dust.
K008,SETTLED,kalshi-market-scan,LEDGER.md,yes,0,2,,,,,Copying Polymarket tennis wallets earns +7.23pp.
K009,SETTLED,kalshi-market-scan,LEDGER.md,yes,3,0,yes,,,,"The favourite-longshot bias does not exist on Kalshi, so the Polymarket→Kalshi transfer fails."
K010,UNVERIFIED,kalshi-market-scan,LEDGER.md,,2,3,,,,yes,"Kalshi pre-match prices are calibrated bucket by bucket (""every binomial p ≥ 0.499"")."
K011,SETTLED,kalshi-market-scan,LEDGER.md,yes,2,0,yes,,,,Flow following on Kalshi has no signal — price absorbs the flow.
K012,SETTLED,kalshi-market-scan,LEDGER.md,yes,1,1,,,,,"Economics series are killed on recurrence, not on edge."
K013,SETTLED,kalshi-market-scan,LEDGER.md,yes,1,0,yes,,,,"KXBTC15M is minted at-the-money every 15 minutes, pinning entry to the peak of the fee curve."
K014,SETTLED,kalshi-market-scan,LEDGER.md,yes,1,1,,,,,"The power bar is 481 settlements for a 5pp edge, 2,084 to clear the 2.4¢ tennis cost bar."
K016,SETTLED,kalshi-market-scan,LEDGER.md,yes,2,0,yes,,,,Deflated Sharpe was deliberately not computed.
B001,SETTLED,bot-forensics,LEDGER.md,yes,1,2,,,,,The bot lost money over its whole life. −$6.92 across 108 matches.
B002,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,,,"The hand-trading made the money; the bot did not. Manual +$98.94, bot −$6.92."
B003,SETTLED,bot-forensics,LEDGER.md,yes,2,0,yes,,,,"The ""profitable night"" is a cut at the maximum of the equity curve, and the argmax is not a finding."
B004,SUGGESTIVE,bot-forensics,LEDGER.md,,1,2,,,,yes,Splitting on the clock instead of the curve: night beats day in sign only.
B005,SETTLED,bot-forensics,LEDGER.md,yes,2,1,,,,yes,0 of 13 permutation-tested buckets clear BH-FDR at 5%.
B005a,BROKEN,bot-forensics,LEDGER.md,yes,2,1,,yes,,yes,"⚠ The parametric arm of the same test reports 3 discoveries, not 0, and it propagated to only one of four documents."
B006,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,,,The night/day comparison is confounded against the night at source.
B007,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,,,"The martingale is present in the profitable stretch, and it went 7 for 7."
B008,SETTLED,bot-forensics,LEDGER.md,yes,1,0,yes,,,,The score feed arrived after the market had already repriced. Puts a magnitude on CH031.
B009,SETTLED,bot-forensics,LEDGER.md,yes,1,1,,,,,"The night's actual configuration, replayed over the backtest corpus, loses on every tier — worst on ITF, where it actually traded."
B010,SETTLED,bot-forensics,LEDGER.md,yes,1,0,yes,,,,The night's config was not badly chosen — it is just in a losing family.
B011,SETTLED,bot-forensics,LEDGER.md,yes,0,2,,,,yes,"The live 39 hours are consistent with the backtest, not in tension with it."
B012,SETTLED,bot-forensics,LEDGER.md,yes,0,1,,,,,"The stop loss is the single most expensive component, and four independent files now agree."
B013,SETTLED,bot-forensics,LEDGER.md,yes,1,0,yes,,,,"Kalshi tennis settles strictly binary; a retirement does *not* settle ""at the number""."
B014,SETTLED,bot-forensics,LEDGER.md,yes,1,0,yes,,,,Roughly thirty people independently built this same bot in six months and none publishes a settled P&L.
B015,SETTLED,bot-forensics,LEDGER.md,yes,1,0,yes,yes,,,Nobody documents the overnight-vs-daytime pattern in prediction-market sports books.
B016,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,yes,,"⚠ A free ITF data source may exist, reopening a thread closed on data availability."
B017,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,,,"The SAGLEV re-entry legs were 749 s apart, not 24 s."
B018,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,,,The bankroll was stepped up by hand during the winning run.
B019,BROKEN,bot-forensics,LEDGER.md,yes,0,0,,yes,,,A notional-only bot/manual classifier misclassified the single largest winner.
B020,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,yes,,"""Sackmann upstream is 404"" is too strong — a live mirror exists."
B021,SETTLED,bot-forensics,LEDGER.md,yes,1,0,yes,,yes,,"A free ITF data source DOES exist. The thread that was closed on ""no free ITF source"" was closed on a false premise."
B022,SETTLED,bot-forensics,LEDGER.md,yes,0,0,,,yes,,⚠ The vendor's advertised free-tier rate limit is wrong by 10×.
B023,SETTLED,bot-forensics,LEDGER.md,yes,2,0,yes,,,,Pre-match player features add nothing to Kalshi's opening price.
B024,SETTLED,bot-forensics,LEDGER.md,yes,0,3,,,yes,,"The one surviving signal — ""buy the heavy favourite"" — is a wide-book quoting artifact, not a mispricing."
B025,BROKEN,bot-forensics,LEDGER.md,yes,1,0,yes,yes,,,"⚠ Two bugs in this session's own analysis code, caught before publication."
B026,UNVERIFIED,bot-forensics,LEDGER.md,,2,0,yes,,,,"⚠ Possible tension with K009, unresolved."
B027,SETTLED,bot-forensics,LEDGER.md,yes,2,4,,,,,"Where Kalshi tennis is liquid, its opening price is calibrated across the entire price range. Where it is wide, it is not — and that is where every apparent edge in this repo has come from."
M011,SUGGESTIVE,,LEDGER.md,,1,0,yes,,,,"""Kalshi's MLB moneyline already tracks the free DraftKings line."" median |Kalshi mid − de-vigged DK| 0.37¢, p90 0.75¢, max 1.94¢, 0 of 26 exceed the cost bar"
M001,RETRACTED,,LEDGER.md,yes,1,0,yes,yes,,,"*""Kalshi's /orderbook returns empty; order-book depth is not public.""* Held by a prior session and independently reproduced on 85 markets."
BH001,SETTLED,,LEDGER.md,yes,0,0,,,,,"Pinnacle's guest API returns live priced markets unauthenticated and free — 27,582 soccer, 3,728 tennis, 1,920 baseball, 643 esports, each with maxRiskStake."
BH002,SETTLED,,LEDGER.md,yes,4,1,,,,,"Nothing survives the structural grid on esports, and nothing survives on the MLB control."
BH003,SETTLED,,LEDGER.md,yes,0,0,,,,,"close_time is when the market SETTLES, not when play starts — the pre-registered −60 min anchor was VOID at 13.96% extreme quotes, 99.7% correct."
BH004,SETTLED,,LEDGER.md,yes,0,0,,,,,Esports' real pre-match cost is 3–6× the figure the shortlist ranked it on.
BH005,SETTLED,,LEDGER.md,yes,1,0,yes,,,,"Resting orders do get filled: 29–36% strict (trade-through), 63–69% permissive."
BH006,BROKEN,,LEDGER.md,yes,1,0,yes,yes,,,H10's net P&L and adverse selection.
BH007,SUGGESTIVE,,LEDGER.md,,1,1,,,,,De-vigged Pinnacle vs the Kalshi ask on esports: the median buy edge is negative under every method.
BH008,SETTLED,,LEDGER.md,yes,0,0,,,,,Polymarket esports is ~96% derivative markets.
BH009,SETTLED,,LEDGER.md,yes,2,0,yes,yes,yes,,"Kalshi's retention is a fixed calendar boundary at 2026-05-25, not a rolling window — and it is the same boundary on the market listing AND the trade tape."
BH010,SETTLED,,LEDGER.md,yes,1,0,yes,,,,"Retrievable settled events by family, against LEDGER K014's 481-event bar."
BH011,SETTLED,,LEDGER.md,yes,1,0,yes,,,,The de-vig test's cost bar is larger than the entire vig it removes.
BH012,SETTLED,,LEDGER.md,yes,0,0,,,,,close_time on a LIVE Kalshi MLB market is the game start plus exactly 72 h. On settled markets Kalshi rewrites it to the true settlement instant (2.4–3.2 h after start).
BH013,SETTLED,,LEDGER.md,yes,0,0,,,yes,,"⚠ RESULTS.md §3's ""KXMLBGAME is 1.0¢ at every lead"" is a CANDLE measurement."
BH014,BROKEN,,LEDGER.md,yes,0,0,,yes,,,record.py probed mkts[:60] in Kalshi's undocumented listing order.
CH001,RETRACTED,Tennis player model,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,1,,,,,"""Backtest shows +14.4% to +24.6% ROI on selective betting."""
CH002,RETRACTED,Tennis player model,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,1,,yes,,,"""Kalshi beats the Betfair Exchange closing line by 0.022 Brier."""
CH003,RETRACTED,Tennis player model,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,3,,,,,"""Model vs Kalshi is indistinguishable (+0.00714, CI crosses zero)."""
CH004,RETRACTED,Tennis player model,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,0,yes,yes,yes,,"""Stage 0 coverage is 74.5%; there is no ITF tier on Kalshi."""
CH005,RETRACTED,Copy trading,kalshi-chat-audit/LEDGER_CHATS.md,yes,3,2,,,,,"""Wallet copy trading shows a +7.23pp skill edge."""
CH006,RETRACTED,Copy trading,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,1,,,,yes,"""A wallet returned +95pp."""
CH007,RETRACTED,Copy trading,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,"""Longshot buying returns −20.9pp."""
CH008,RETRACTED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,1,,yes,,yes,"""A fixed-cent stop in a mean-reverting band is a machine for selling local lows — six stops, six bounces, average bounce +30c against a 15c stop."""
CH009,RETRACTED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,0,yes,,yes,,"""The COULD NOT CANCEL … 404 warnings left dangling live sell orders — naked short risk, cancel them on Kalshi yourself."""
CH010,RETRACTED,Exchange-wide scan,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,"""S&P/Nasdaq markets carry a halved fee multiplier."""
CH011,RETRACTED,Exchange-wide scan,kalshi-chat-audit/LEDGER_CHATS.md,yes,2,0,yes,,,,"""Internal no-arbitrage violations are the highest-quality opportunity on the exchange."""
CH012,RETRACTED,Exchange-wide scan,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,"""Combo-generated legs dominate the raw Kalshi trade feed, so flow signals are garbage."""
CH013,RETRACTED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,0,yes,,,,"""The threshold-optimizer bot found every threshold was negative."""
CH014,RETRACTED,Skill accuracy,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,"""The tennis-live-predictor skill is going 7/7 on live calls."""
CH015,RETRACTED,Manual trading,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,1,,,,yes,"""Webb is at 27% against a fair value of ~51% — a 24-point edge."""
CH016,RETRACTED,Signal bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,"""Win posts in the Discord get far more engagement than loss posts."""
CH017,RETRACTED,Signal bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,1,,,,,"""The 26 silent calls are weighted toward losses."""
CH018,RETRACTED,Signal bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,"""The screen-reader bot should require the read price to match rot's card price."""
CH019,RETRACTED,Tennis backtest,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,yes,"""The mirrored Kalshi markets are not exact inverses."""
CH020,RETRACTED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,1,,,,yes,"""The serving signal is worth +3.09c per trade."""
CH021,BROKEN,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,yes,,,Overnight bot session netted +$0.60 across 10 fills.
CH023,SUGGESTIVE,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,,0,1,,,,yes,"Exit machinery converted a −$26.48 hold-to-resolution outcome into break-even — ""stops saved ~$27""."
CH024,SUGGESTIVE,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,,0,1,,,,yes,Average entry price 69.5c; only 4 of 10 players actually won. ~4.7% chance of being pure bad luck.
CH025,UNVERIFIED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,,0,1,,,yes,yes,"The 80c+ entry bucket is where all the losses came from (4 trades, 1 winner, −$2.14). Basis for the proposed 75c entry cap."
CH026,UNVERIFIED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,,0,1,,,,yes,"Blind price-gated re-entry after a stop is roughly a wash and worse after costs (2 wins, 4 losses); re-entry must be score-gated."
CH027,UNVERIFIED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,,0,0,,,,,"Live tennis markets follow a three-act shape (drift band → volatility explosion → terminal ramp), and all six stop-outs came from Act II."
CH028,BROKEN,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,yes,,,Re-running the 10 trades under the proposed v2 rules gives ≈ +$7 instead of +$0.60.
CH029,BROKEN,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,yes,,,"Fees ate ~80% of gross profit (gross ≈ +$2.85, ~$2.20–2.30 fees on 91 contracts, ≈2.5c/share round trip)."
CH030,SETTLED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,1,0,yes,,,,The app was closed for 4h13m with five open positions. Take-profits rest server-side on Kalshi and fill regardless; stops are app-side and do nothing while closed.
CH032,SETTLED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,1,,,yes,,"The Apify outage was a free-tier monthly hard limit (594 scans at 20s intervals × up to 2 actor runs), not a code fault."
CH033,SETTLED,Tennis bot,kalshi-chat-audit/LEDGER_CHATS.md,yes,2,0,yes,,yes,,"The outage did not cause bad trades — the design fails closed (no feed ⇒ no candidates), and stops read Kalshi prices, not Apify."
CH034,SETTLED,Tennis bot / all,kalshi-chat-audit/LEDGER_CHATS.md,yes,0,0,,,,,Kalshi taker fee = round_up(0.07 × C × P × (1−P)); peak 1.75c/contract at 50c; maker fee 0.0175 × C × P × (1−P) = 25% of taker.
